Video Name,Channel Name,User Name,Comment,Likes,Date,Score,Status Level,Triggered Keywords
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@hooting-ton5215,"I'm Allex 2025: ""We were both horrible people, I think people need to recongise how awful Alice was!""

Also Allex: 53:12",5,2025-04-05T17:26:26Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@bongo9595,the editing is headache fuel,0,2025-04-05T06:37:02Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@K.Marie119,1:29:13 He's dropped a ~90 min  It's been over a year  later. He had to do a lot of training first so he could perform all the mental gymnastics he did in said video. It mental gymnastics were an olympic sport he would be the team leader.,3,2025-04-04T21:34:00Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@private755,IT DOESNT MATTER OF A MINOR LIES TO YOU ABOUT THEIR AGE THAT HAS NEVER BEEN A PROPER DEFENSE FFS,1,2025-04-02T16:05:23Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@CrazyBanana203,Bro wtf is up with these thumbnails?,0,2025-04-01T22:45:17Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Showtime_goblin,Can’t believe he tried coming back 🤧,6,2025-03-29T00:01:30Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@SquishyTheVampire,"If i recall, wasn't one of the girls who came out unreliable or something? I don't remember if it was king annie or jess, but there was some iffy evidence that made the accusations invalid or something along that line.",0,2025-03-27T22:27:05Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@cynicalcitizen8315,Gods be with Slazo. He owned up to his shortcomings. I hope he's in a much better place.,5,2025-03-27T08:16:37Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@WLF0X,I'm sure this ain't worth an hour and a half of my time so I'll just read the Wikipedia page ,1,2025-03-26T02:15:34Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@CommentCop,"How on earth did the blatantly false King Ani allegation make it into your video with 0 pushback? You are as spineless as Alex, you are just lucky your job is glorified recaps of other people’s coverage long after it’s happened",0,2025-03-25T12:59:59Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@isaacpotatocrowley9738,Looks like we have to do an update👀. He recently made a response video👀,3,2025-03-22T23:13:24Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@milkiii_teaa,follow my discord baby https://discord.com/channels/1091059837380612157/1091059838018138174,2,2025-03-22T17:16:42Z,13,Dangerous,"discord, baby"
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@ValleDrew51,These guys talking about allegations about each orher is kinda funny,0,2025-03-22T10:06:14Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@wizardfrog3104,Rewatching this after his response and honestly? Everything still holds up pretty well lmaoooo,29,2025-03-22T07:42:22Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@se7enwonders,"Both the Slazo and the Kwite situations broke my heart. 
Even after proving their innocence, to this day I still see comments about them on social media being predators. Or worse. I have both a son and a daughter. I’ve always worried about my daughter. Unfortunately there is not a female on the planet anywhere ever that I don’t know that can’t say “me too”. But I never thought I had to worry about my son. I don’t know if those of you younger than me understand how drastic a change in technology has been over just a decade and a half. Entire lives spilled online over social media for the world. People taking advantage of anonymity and saying whatever they want. Now I’m just as frightened for my son as I am for my daughter. All it takes is one accusation. Just one. I do believe that you should believe all victims, and never turn them away. But you should absolutely always ask questions. Always. There are forever two sides to every story. That is fact.
Watching these young men have to come onto camera and share the most personal and embarrassing portions of their lives is heart wrenching. I think even up to this point, Kwite was anonymous and never showed his face. 
In the Kwite situation, it was clear that the accuser was a liar. Like a full blown liar. And it was all too easy to prove.
But in the Slazo situation, I truly believe that the girl that came forward what is pushed in coerced and manipulated by AleX.
I miss Jaubrey. It’s so important for actual real hard-working Youtubers to get information out like this. The endless hours they put into research and reading and collaborating and editing, that’s a real job. They earn every penny.
Sitting with a camera pointed towards you while you watch other people’s work “react” to it is embarrassing if you are referring to yourself as a “real hard-working YouTuber”",0,2025-03-22T03:47:41Z,11,Dangerous,"young, want, girl, yourself"
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@HelloItsAFOOp,Might have to make a part 2 now!,1,2025-03-21T20:12:40Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@mellokeehl6320,"""If he ever tries to come back and say this never happened he will be unable to lie and say these events never happened"" he can certainly try apparently",47,2025-03-21T18:06:51Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@TheNoxolotl,He just made a video.....,2,2025-03-21T02:13:24Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@yey8288,oh god…,0,2025-03-21T00:34:57Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jennifernichole7317,He just made a response video 💀,2,2025-03-20T21:13:45Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Davwid,I didnt know colossal was so involved with imalexx it makes sense why he hates him so much always thought he hated him because imalexx was just so hateable,1,2025-03-19T07:05:51Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Faceless_time_traveler,"So his first false accusations was to someone of being a sociopath, while this is how he treats his girlfriend 

Talk about projection",1,2025-03-16T17:34:15Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@ghostparty2062,5:50 no its no 😁,0,2025-03-15T11:13:49Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@hotpotato4027,I never hear of people like this unless it’s on YouTube and I really don’t care so this’ll be the only one I’m likely to watch out of curiosity before I feel myself becoming dumber for watching about these narcissistic fools!,0,2025-03-14T08:28:42Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@cheatingisacrime,JAMES MARRIOTT MENTION HELL YEAH,0,2025-03-13T22:48:54Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@orccomputers2145,sweet scam ad's bro well  u cry about other youtubers lmao,0,2025-03-12T12:09:33Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@rainbeetle,alex always looks and talks like he has a little bit of gauze in his mouth,3,2025-03-09T07:27:18Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@BisonCork,I sincerely hold an unreasonable level of disgust towards anyone who found the abuse the surprising. He was so obviously a monster. I genuinely look down on anyone who tolerated him post 2017,1,2025-03-08T22:26:19Z,8,Suspicious,abuse
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@JiaPia3,"I didn’t think I’d be interested in this doc for over an hour, but here we are. This was well done, just like Alex’s career.",0,2025-03-07T14:43:10Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Manksii,"That short clip of Baited, whew the good times. Clown and Keem yelling at each other was peak youtube",0,2025-03-05T16:18:19Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@theresawatchbutivelostit,"I only ever knew Alex as ""George M's Weird Punchable Roommate"" and im so glad of that",4,2025-03-01T14:47:52Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@rpthug64,is there a forehead/hairline reveal on this loser somewhere,2,2025-02-23T16:19:34Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jaybobdoodles,“Internet sensation”? Don’t give a coward so much credit.,1,2025-02-22T11:55:22Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@ScribblebytesWorldwide,"If i ever believed the universe is abundant and scarcity is a lie, its now, because of this video. I've never heard of 70% of the people mentioned in this video and theyre supposedly ""famous"". It also gives ne new respect for real famous people like Denzel Washington or Brad Pitt.",0,2025-02-19T19:30:59Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Ozzylentay,whats the intro song?,0,2025-02-19T11:33:05Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@madisonlewe1057,So he basically saw the other two YouTubers as competition so he embellished the truth on one instance and outright lied in the other to ruin their reputations?,9,2025-02-18T03:18:04Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@communisttony,GO KILL YOURSELF WITH DRUG YOU FAGGOT,0,2025-02-17T12:47:38Z,22,Dangerous,"faggot, kill, yourself"
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@psykotic-v9v,we saw his downfall coming we just didnt know when,2,2025-02-17T01:14:08Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@huntywunty,"as someone who has aspd, the zaptie story breaks my heart. im lucky enough to have never experienced a betrayal like that, even though zaptie doesn't actually have it and is also a terrible person. it's a concept im terrified of, which is why i try to be as open about it as possible",1,2025-02-16T22:13:02Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@forgottenbard,"this comment doesn't have to do with ANYTHING in the whole hour of doc, but just to say that jaubrey doesn't look like he has the voice he has, so it looks like he's being dubbed by someone else

regardless, amazing content",1,2025-02-16T20:23:48Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@tygates4301,45:45 bro’s got the eyes of ibad,1,2025-02-16T18:39:38Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@skylar5257,"How he had a career after the Slazo situation is absolutely crazy, that should’ve made him irrelevant like KingAni. Him, Weest and KingAni were some of the worst people in the entire situation because they all refused to say they were wrong.",0,2025-02-15T19:47:29Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@bubbag3332,jeez that 3minute intro of the aids editring at the beginning,0,2025-02-15T18:46:57Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jb3512,I never heard of Alex before but after 10 seconds of seeing him and hearing his stupid fucking accent and seeing his gollum mouth I knew he was a creep. Alex is likely an actual psychopath and his super hard finger pointing at Slazo was just to destract from him being the monster.,1,2025-02-14T23:33:25Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@justsomeguy2743,"I got bad vibes from him way before any of the drama came to light, I know James Charles is an awful person but he instantly dropped someone who he consider a friend over something that proved to be false all to save his image, now obvs James Charles turned out to be a dodgy person however how I see it is he either knew and was fine with it till it was out publicly or he didn’t and dropped a friend over a false rumor",1,2025-02-13T15:11:28Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@DWboy14,"King ani is not innocent, she also helped alex with the fake aligations on slazo",0,2025-02-13T14:06:44Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@GlitteryGhost,"Oh my god I didn't know he was murderous like that irl, I thought literally all of he abuse was online. That's so fucking scary and dangerous. I had no idea how bad it was. I'm so glad she got out. Be safe out there, God. Poor Alice.",0,2025-02-09T19:13:10Z,8,Suspicious,abuse
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Mrsims916,…your mom,0,2025-02-05T15:46:30Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@leyla4317,Im canadien tho 5:47,1,2025-02-05T00:59:49Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@bansheewv89,"Such a massive piece of trash. I dislike him more than Logan Paul, and didn’t think that was possible. That poor woman…",0,2025-02-02T00:08:59Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jaffa3717,"Always absolutely hated this guy the second I learned about his existence back in like 2016. Had no real valid reason back then, it was just a vibe I guess. Clearly I was onto something. This guy is a literal psychopath",0,2025-02-01T13:35:38Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@jaffa3717,"Just by sheer coincidence, I'm watching this on his birthday lol. Happy birthday I guess",0,2025-02-01T12:40:28Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@cheesekransky,hearing the bit about alex's living conditions reminded me of that whole piss bottle in the hallway thing from a few years ago. i thought it was just a joke or played up for laughs but it feels weird looking back on it now 😭,4,2025-02-01T08:54:59Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@Active0Bserver,"Wow, I didn't expect it to be *this* bad when I clicked this video... How awful, I hope Alice is healing well. What a horrible thing to have been put through.",0,2025-01-31T03:45:12Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@cobaltblu4196,Dude seriously couldn't even give her a whole pack of Jaffa cakes? she had to share it?! what the fuck?!,1,2025-01-29T09:46:22Z,8,Suspicious,fuck
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@joez.2794,"Holy manipulated thumbnails, Batman.  Hope that's the only thing...",0,2025-01-28T03:21:36Z,0,Safe,
The Allegations of ImAllexx | The End of an Internet Sensation,j aubrey,@kyle6838,Slazo still seems sleezy,1,2025-01-27T03:13:33Z,0,Safe,
